Date,Product,Price_Numeric
2026-03-04,Chantelle Bag,495000.0
2026-03-04,Milano Bag,465000.0
2026-03-04,Hera Bag 2.0,485000.0
2026-03-04,Lou Bag 2.0,465000.0
2026-03-04,KAMI x Anissa Aziza - Alba Bag,445000.0
2026-03-04,Oria Bag,445000.0
2026-03-04,Mini Hera Bag 2.0,419000.0
2026-03-04,KAMI X Attera - Medium Lou Bag,445000.0
2026-03-04,Rodeo Bag,485000.0
2026-03-04,Monet Bag,419000.0
2026-03-04,Baby Rodeo Bag,99900.0
2026-03-04,Lou Bag 2.0 Multicolor,465000.0
2026-03-04,KAMI X Attera - Small Lou Bag,395000.0
2026-03-04,Marcie Phone Bag,258000.0
2026-03-04,Lou Wallet,195000.0
2026-03-04,Kora Bag,395000.0
2026-03-04,Baby Hera Bag 2.0,99900.0
2026-03-04,Bundle Rodeo Bag & Baby Rodeo Bag,550000.0
2026-03-04,Portia Tote Bag,495000.0
2026-03-04,Small Roche Genuine Leather Bag,799000.0
2026-03-04,Coello Bag,529000.0
2026-03-04,Large Roche Genuine Leather Bag,999000.0
2026-03-04,Sanchez Padel Bag,650000.0
2026-03-04,Bundle Coello Padel Bag,750000.0
